Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,1.3597162,1.34160911,1.425979718,1.717102783
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,0.458347853,0.536401965,0.501362539,3.249386774
log-sigma-1-0-mm-3D,glcm,Id,0.705562839,0.711650464,0.71897118,0.30436944
log-sigma-1-0-mm-3D,glcm,Idm,0.691043142,0.701342144,0.704093152,0.204288878
log-sigma-1-0-mm-3D,glcm,Idmn,0.982118884,0.985855715,0.99099905,0.910055239
log-sigma-1-0-mm-3D,glcm,Idn,0.919779495,0.930221606,0.943183456,0.794409989
log-sigma-1-0-mm-3D,glcm,Imc1,-0.210414035,-0.242636265,-0.111791947,-0.717784407
log-sigma-1-0-mm-3D,glcm,Imc2,0.730701731,0.776173027,0.540507332,0.975814361
log-sigma-1-0-mm-3D,glcm,InverseVariance,0.468991665,0.486570231,0.438586539,0.216002493
log-sigma-1-0-mm-3D,glcm,JointAverage,3.575713287,4.716577915,6.770319418,7.813873626
log-sigma-1-0-mm-3D,glcm,JointEnergy,0.117813195,0.099442743,0.154648215,0.147510847
log-sigma-1-0-mm-3D,glcm,JointEntropy,3.494934142,3.719988975,3.408116368,3.119547781
log-sigma-1-0-mm-3D,glcm,MCC,0.63915106,0.726123143,0.638825782,0.975372958
log-sigma-1-0-mm-3D,glcm,MaximumProbability,0.231697394,0.171835019,0.32527936,0.166437729
log-sigma-1-0-mm-3D,glcm,SumAverage,7.151426574,9.433155831,13.54063884,15.62774725
log-sigma-1-0-mm-3D,glcm,SumEntropy,2.641660441,2.867272097,2.483825428,2.05267111
log-sigma-1-0-mm-3D,glcm,SumSquares,0.967954944,1.166400984,0.774743069,8.827549249
log-sigma-1-0-mm-3D,gldm,DependenceEntropy,4.694586111,5.066666905,5.267701223,3.553508855
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformity,44.61111111,86.83045977,132.505988,12.33333333
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.154899691,0.124756408,0.099181129,0.513888889
log-sigma-1-0-mm-3D,gldm,DependenceVariance,4.02425733,7.770998481,12.39773522,0.243055556
log-sigma-1-0-mm-3D,gldm,GrayLevelNonUniformity,77.31944444,192.4626437,418.6332335,3.25
log-sigma-1-0-mm-3D,gldm,GrayLevelVariance,1.124565972,1.079648484,0.994531334,10.58159722
log-sigma-1-0-mm-3D,gldm,HighGrayLevelEmphasis,14.72222222,26.55603448,45.12350299,71.29166667
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis,17.21527778,29.4683908,41.29640719,2.25
log-sigma-1-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,232.1527778,619.2198276,1997.867515,141.2916667
log-sigma-1-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,1.75603151,1.730767961,0.882663564,0.099418716
log-sigma-1-0-mm-3D,gldm,LowGrayLevelEmphasis,0.101947791,0.046649489,0.0253539,0.070204074
log-sigma-1-0-mm-3D,gldm,SmallDependenceEmphasis,0.219855739,0.149547026,0.150994471,0.6875
log-sigma-1-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,3.59025322,4.513523009,6.302949128,53.79166667
log-sigma-1-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.022064853,0.007477514,0.005255632,0.062900414
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity,68.21104567,167.5556418,324.5648978,3.186150806
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.263278636,0.27977042,0.291063993,0.134894454
log-sigma-1-0-mm-3D,glrlm,GrayLevelVariance,1.149980733,1.069303258,1.089493042,10.68206557
log-sigma-1-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,14.8513212,27.14869479,44.59687657,71.54321222
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis,1.455739613,1.783021991,1.977735693,1.051079355
log-sigma-1-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,20.97875539,45.61916331,91.14281806,74.43010794
log-sigma-1-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.150342763,0.086122172,0.047584383,0.072189781
