"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"log-sigma-1-0-mm-3D","glcm","MCC","0.35964262863942054","0.6062668753900176","","0.4800999578127637"
"log-sigma-1-0-mm-3D","glcm","MaximumProbability","0.21546802907555895","0.21872573668838532","","0.20433964195560417"
"log-sigma-1-0-mm-3D","glcm","SumAverage","6.2799275843649855","8.862776973802191","","9.206298497145923"
"log-sigma-1-0-mm-3D","glcm","SumEntropy","2.534220696580726","2.6926117778259804","","2.7944689501755025"
"log-sigma-1-0-mm-3D","glcm","SumSquares","0.7898530000136043","1.0138322414050245","","1.1202619935863782"
"log-sigma-1-0-mm-3D","gldm","DependenceEntropy","5.157852775778286","4.547085906131073","","5.133897839453601"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformity","80.48737373737374","104.4894366197183","","118.32272727272728"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformityNormalized","0.1016254718906234","0.1839602757389407","","0.13445764462809917"
"log-sigma-1-0-mm-3D","gldm","DependenceVariance","8.684547495153556","2.7587656219004164","","6.141528925619835"
"log-sigma-1-0-mm-3D","gldm","GrayLevelNonUniformity","248.93939393939394","161.27464788732394","","225.11363636363637"
"log-sigma-1-0-mm-3D","gldm","GrayLevelVariance","0.7825158147127844","1.0521101963896051","","1.226692923553719"
"log-sigma-1-0-mm-3D","gldm","HighGrayLevelEmphasis","10.227272727272727","20.517605633802816","","22.126136363636363"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceEmphasis","37.99747474747475","13.971830985915492","","24.011363636363637"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceHighGrayLevelEmphasis","402.4015151515151","298.19718309859155","","567.4829545454545"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceLowGrayLevelEmphasis","4.546721731200898","0.7967985791734533","","1.2108368055555554"
"log-sigma-1-0-mm-3D","gldm","LowGrayLevelEmphasis","0.15653093434343435","0.06560462976270319","","0.06322903138528138"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceEmphasis","0.11740246819152242","0.21307583014622125","","0.17476115244203025"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceHighGrayLevelEmphasis","0.9745344127731238","4.174312373912789","","3.5620685522839506"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceLowGrayLevelEmphasis","0.03212624351543612","0.01725971176555031","","0.013922805093330654"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformity","200.48684157485337","144.69424299247822","","191.38566438852817"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformityNormalized","0.304533530165895","0.2797856460032878","","0.24814070454635487"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelVariance","0.8275243878617644","1.0742410821311974","","1.273881856669437"
"log-sigma-1-0-mm-3D","glrlm","HighGrayLevelRunEmphasis","10.135132366355368","20.44179132984349","","21.952093850425886"
"log-sigma-1-0-mm-3D","glrlm","LongRunEmphasis","1.9020882665458636","1.446028163225197","","1.5905122626073476"
"log-sigma-1-0-mm-3D","glrlm","LongRunHighGrayLevelEmphasis","19.78135398423945","30.23616993358572","","35.9353589981969"
"log-sigma-1-0-mm-3D","glrlm","LongRunLowGrayLevelEmphasis","0.27403678769249173","0.09155893629670067","","0.09546943508388023"
"log-sigma-1-0-mm-3D","glrlm","LowGrayLevelRunEmphasis","0.16362892927413755","0.06643077274653054","","0.06467823651299712"
"log-sigma-1-0-mm-3D","glrlm","RunEntropy","2.6466522823874055","2.4926680545970794","","2.7665665595616384"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformity","485.47770506993527","448.05808283766453","","625.2425087864759"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformityNormalized","0.722777937792274","0.8517199748845473","","0.7989528166732742"
"log-sigma-1-0-mm-3D","glrlm","RunPercentage","0.8302253302253302","0.9096695557963164","","0.8758741258741259"
"log-sigma-1-0-mm-3D","glrlm","RunVariance","0.3243502495943073","0.15869392925632045","","0.2258577500235976"
"log-sigma-1-0-mm-3D","glrlm","ShortRunEmphasis","0.8640277416889467","0.9268394683808948","","0.907335481292169"
"log-sigma-1-0-mm-3D","glrlm","ShortRunHighGrayLevelEmphasis","8.699287528561223","18.9337553974866","","19.84471220790711"
"log-sigma-1-0-mm-3D","glrlm","ShortRunLowGrayLevelEmphasis","0.1459341418718043","0.061974779701885245","","0.05946532851255858"
"log-sigma-1-0-mm-3D","glszm","GrayLevelNonUniformity","27.713043478260868","37.51898734177215","","41.03157894736842"
"log-sigma-1-0-mm-3D","glszm","GrayLevelNonUniformityNormalized","0.24098298676748584","0.23746194520108957","","0.2159556786703601"
"log-sigma-1-0-mm-3D","glszm","GrayLevelVariance","1.313875236294896","1.3943278320781924","","1.675484764542936"
"log-sigma-1-0-mm-3D","glszm","HighGrayLevelZoneEmphasis","8.486956521739131","18.949367088607595","","19.626315789473683"
"log-sigma-1-0-mm-3D","glszm","LargeAreaEmphasis","344.6434782608696","45.9746835443038","","93.43157894736842"
"log-sigma-1-0-mm-3D","glszm","LargeAreaHighGrayLevelEmphasis","3388.817391304348","1063.4683544303798","","2325.942105263158"
"log-sigma-1-0-mm-3D","glszm","LargeAreaLowGrayLevelEmphasis","39.20995410628019","2.275154891070352","","4.253403299916458"
"log-sigma-1-0-mm-3D","glszm","LowGrayLevelZoneEmphasis","0.28175362318840586","0.08154349292459599","","0.08379720133667502"
"log-sigma-1-0-mm-3D","glszm","SizeZoneNonUniformity","22.73913043478261","35.53164556962025","","41.526315789473685"
"log-sigma-1-0-mm-3D","glszm","SizeZoneNonUniformityNormalized","0.19773156899810965","0.22488383271911552","","0.2185595567867036"
"log-sigma-1-0-mm-3D","glszm","SmallAreaEmphasis","0.4198625901423592","0.459576791488499","","0.4655780053805888"
"log-sigma-1-0-mm-3D","glszm","SmallAreaHighGrayLevelEmphasis","2.75785429568262","8.595324119052897","","9.107319371346268"
"log-sigma-1-0-mm-3D","glszm","SmallAreaLowGrayLevelEmphasis","0.15657358319750608","0.04284412134899423","","0.041694120179622755"
"log-sigma-1-0-mm-3D","glszm","ZoneEntropy","4.721254978512087","4.69454106514223","","4.9917847608453645"
"log-sigma-1-0-mm-3D","glszm","ZonePercentage","0.1452020202020202","0.27816901408450706","","0.2159090909090909"
"log-sigma-1-0-mm-3D","glszm","ZoneVariance","297.21330812854444","33.05111360358917","","71.98005540166204"
"log-sigma-1-0-mm-3D","ngtdm","Busyness","7.877209663291689","2.018281724084851","","3.3519766031670986"
