"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"log-sigma-1-0-mm-3D","gldm","GrayLevelNonUniformity","54.95384615384615","61.95652173913044","10.25","5.0"
"log-sigma-1-0-mm-3D","gldm","GrayLevelVariance","0.8532544378698224","1.4915122873345936","48.553043252080855","0.1875"
"log-sigma-1-0-mm-3D","gldm","HighGrayLevelEmphasis","8.953846153846154","12.78695652173913","376.4439655172414","1.75"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceEmphasis","34.95384615384615","11.252173913043478","3.1379310344827585","10.0"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceHighGrayLevelEmphasis","254.8","140.58695652173913","1065.4181034482758","13.0"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceLowGrayLevelEmphasis","5.892272806558521","1.1754376910184365","0.03447964402927548","9.25"
"log-sigma-1-0-mm-3D","gldm","LowGrayLevelEmphasis","0.1574154020582592","0.1333924011633639","0.015746338045513297","0.8125"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceEmphasis","0.136590759719277","0.27179590672823073","0.6044061302681992","0.15625"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceHighGrayLevelEmphasis","1.307068251743847","3.746827675353555","238.2425766283525","0.34375"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceLowGrayLevelEmphasis","0.02736031712779097","0.049179772289249836","0.012431541645735022","0.109375"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformity","45.47810333374566","56.493422827077104","9.9834471838529","4.159863945578231"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformityNormalized","0.4159821881452053","0.26532487259819193","0.04409710271127124","0.6056041464204729"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelVariance","0.9194314813066492","1.5511797193034444","48.49201142188234","0.19719792678976353"
"log-sigma-1-0-mm-3D","glrlm","HighGrayLevelRunEmphasis","9.197333748943167","12.833952177171081","377.53756929930876","1.8163265306122451"
"log-sigma-1-0-mm-3D","glrlm","LongRunEmphasis","1.741754455295779","1.3346378710664324","1.0760023464729775","1.6938775510204083"
"log-sigma-1-0-mm-3D","glrlm","LongRunHighGrayLevelEmphasis","14.900022139444248","16.84466028303801","402.8051006212878","2.831632653061224"
"log-sigma-1-0-mm-3D","glrlm","LongRunLowGrayLevelEmphasis","0.2769582208522353","0.1720404438399983","0.01657653356695738","1.409438775510204"
"log-sigma-1-0-mm-3D","glrlm","LowGrayLevelRunEmphasis","0.15657731518799814","0.13568101584574907","0.015925244202123254","0.7959183673469388"
"log-sigma-1-0-mm-3D","glrlm","RunEntropy","2.215570853225415","2.5409296944655306","4.7555918433904605","1.0839488550757193"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformity","81.46992478302232","189.51061361710947","215.6897399391975","5.98639455782313"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformityNormalized","0.7319321884693856","0.8823117380588522","0.9522446304087059","0.8665370910268868"
"log-sigma-1-0-mm-3D","glrlm","RunPercentage","0.8390532544378699","0.9247491638795987","0.9757957559681697","0.8571428571428571"
"log-sigma-1-0-mm-3D","glrlm","RunVariance","0.23880226061909007","0.13635107024965692","0.024871868081496887","0.06673145448655653"
"log-sigma-1-0-mm-3D","glrlm","ShortRunEmphasis","0.8662467873742021","0.9471485154822332","0.981395108221895","0.826530612244898"
"log-sigma-1-0-mm-3D","glrlm","ShortRunHighGrayLevelEmphasis","8.129879325996884","12.163593369079562","371.3350422776144","1.5625"
